"athlete.sex","average_speed","max_speed","distance","average_heartrate","type"
"F",3.022,10.9,21580,151.2,"Ride"
"M",4.675,12.8,24438.8,135.9,"Ride"
"M",6.685,13.9,33632.8,143,"Ride"
"M",6.124,17.1,28765.1,150.5,"Ride"
"M",9.249,16.8,69559.8,147.1,"Ride"
"F",3.084,3.7,8371.3,152.5,"Run"
"M",7.18,9.3,48415.5,127.8,"Ride"
"M",2.881,4.3,6042.5,184.5,"Run"
"M",7.503,16.9,40770.9,140.2,"Ride"
"M",6.582,23.5,116055,115.6,"Ride"
"F",2.416,2.7,10697.6,126.1,"Run"
"M",3.296,7.3,16009.5,153.5,"Run"
"M",7.47,18.8,39429,132.2,"Ride"
"M",5.672,16.8,48252.3,134.2,"Ride"
"M",8.358,17.1,49556.6,160.1,"Ride"
"M",6.944,17.8,31972,151.4,"Ride"
"M",8.01,11.2,30045.5,137.4,"Ride"
"F",5.904,12.1,8206.7,137.2,"Ride"
"M",11.173,17.8,13720.3,174.3,"Ride"
"F",7.069,18.5,41671.8,157.1,"Ride"
"M",4.174,5.3,7513.6,162.3,"Run"
"F",9.024,16.6,96724.4,153.6,"Ride"
"F",7.847,13.7,61213.9,133.9,"Ride"
"F",5.669,9.3,20914.1,112.4,"Ride"
"M",2.338,8.1,5895.2,181.7,"Ride"
"F",2.782,5.4,3344.5,146.6,"Run"
"F",0.864,3.5,2696.1,130.7,"Run"
"M",3.001,6.3,8958.7,145.9,"Run"
"M",2.952,9.7,12237.1,148.6,"Run"
"M",6.4,7.6,23045,121.8,"Ride"
"M",6.349,15.3,21884.4,109.6,"Ride"
"F",5.982,11,24256.5,164.4,"Ride"
"M",5.364,16.4,19997.9,134.4,"Ride"
"F",6.009,11.3,22226.8,151.6,"Ride"
"M",6.968,12.3,25107.3,137.9,"Ride"
"M",7.012,18,100177,123.7,"Ride"
"M",2.901,7.1,9955.2,152.5,"Run"
"F",6.354,10.5,23546.3,139.2,"Ride"
"F",2.934,4.3,5061.4,177.6,"Run"
"M",4.416,10.5,22796,142.7,"Ride"
"F",7.015,14,74649.2,151.8,"Ride"
"F",4.714,14.8,39579,150,"Ride"
"M",6.258,12.2,20646.1,121.9,"Ride"
"F",6.92,11.8,29872.6,127.2,"Ride"
"F",2.399,2.5,5152.4,148.7,"Run"
"M",2.962,4.6,10059.5,161.5,"Run"
"M",7.023,12.3,7430.3,131.3,"Ride"
"M",1.506,3.4,7176.9,110,"Run"
"M",7.251,14.8,28059.6,145,"Ride"
"F",2.682,3.7,7253.7,135.5,"Run"
"M",7.913,16.7,36678.7,141.6,"Ride"
"F",8.308,17.6,41987.7,136.1,"Ride"
"M",8.088,13.8,74897.3,133.9,"Ride"
"F",4.966,13.5,25195,156,"Ride"
"F",2.919,5.6,4599.8,145,"Run"
"M",6.003,7.7,12965.7,151.4,"Ride"
"M",2.629,10.2,7184.4,161.8,"Run"
"M",4.088,10.3,28483.2,142.6,"Ride"
"M",8.018,16.5,50265.6,69,"Ride"
"F",1.519,1.7,1852.6,92.8,"Run"
"F",3.216,3.9,3280.3,152,"Run"
"M",8.304,14.5,36754.3,151,"Ride"
"F",8.077,14.5,21790.4,138.3,"Ride"
"F",3.296,10.9,10168.3,148.1,"Ride"
"M",3.196,4.2,7749.9,146.7,"Run"
"F",2.852,6.4,6004.4,166.3,"Run"
"F",5.054,6.3,52180.5,135.1,"Ride"
"M",6.329,9.6,4797.6,120.2,"Ride"
"M",8.253,12.2,63546.8,147.2,"Ride"
"F",2.652,5.8,10306,179.6,"Run"
"M",6.946,14.4,38459.7,121.2,"Ride"
"M",3.867,5.1,5007.3,155.5,"Run"
"M",3.426,4.7,7831.9,149.7,"Run"
"M",1.359,3.3,5985.2,149.9,"Run"
"M",3.462,4.1,4016,155.3,"Run"
"F",6.057,17.8,37834.9,141.2,"Ride"
"M",5.817,17.9,68593.6,145.1,"Ride"
"M",2.663,3.9,8253.8,120.6,"Run"
"M",2.112,3.5,2823.9,153.7,"Run"
"M",5.811,14.9,52376.7,117.6,"Ride"
"F",1.457,3,5077,105.1,"Run"
"M",3.674,5.8,11390.5,143.4,"Run"
"M",7.011,10.9,8750.1,133.6,"Ride"
"F",2.355,3.1,24209.9,135.9,"Run"
"M",7.91,16.1,78610,134.5,"Ride"
"M",9.586,12.7,24138.3,129.1,"Ride"
"M",7.052,11.6,1537.4,147.3,"Ride"
"M",7.361,11.5,77513.8,139.6,"Ride"
"M",7.99,11.3,25095.6,135.1,"Ride"
"M",7.855,16,40217.3,154.5,"Ride"
"F",5.802,15,22072.4,155.7,"Ride"
"F",7.923,15.5,100023,140.5,"Ride"
"M",4.844,15,9241.4,129.3,"Ride"
"M",2.934,12.2,26044.7,151,"Ride"
"M",7.602,12.7,16215.5,150.2,"Ride"
"F",2.291,5,11763.3,151.3,"Run"
"M",8.485,16.6,26322,146.3,"Ride"
"F",3.165,4.4,6482.3,161.8,"Run"
"M",10.067,15.3,44184.4,173.5,"Ride"
"M",8.077,16.5,31153.6,163.1,"Ride"
"M",3.981,15.9,44136.2,142,"Ride"
"M",8.025,14.7,47024.8,117.5,"Ride"
"F",5.207,19.6,68076.4,139,"Ride"
"M",7.095,11.7,40550.5,120.9,"Ride"
"M",4.815,15.593,30216.1,122.9,"Ride"
"M",3.387,12.4,23200.7,158.5,"Ride"
"M",6.644,11.6,26521,141.1,"Ride"
"F",4.715,13.8,75199.8,129.9,"Ride"
"M",3.523,5.9,14388.7,133.1,"Run"
"M",4.921,5.6,8951.7,150.3,"Ride"
"M",6.653,14.2,58227.4,126.8,"Ride"
"F",2.97,4.6,16131.3,177,"Run"
"M",3.543,4.9,11340.8,140.5,"Run"
"M",6.35,13.6,49041.8,161.6,"Ride"
"F",8.961,14.3,32231.6,156.7,"Ride"
"F",6.524,8.8,61006.6,139.5,"Ride"
"F",6.488,10.4,33023.2,137.9,"Ride"
"M",2.269,4.4,5873.4,155,"Run"
"F",2.487,3.5,6129.3,158,"Run"
"M",9.98,11.8,68660.2,147.1,"Ride"
"M",7.096,19.2,122378,125.2,"Ride"
"M",7.765,15.9,72740.4,84.4,"Ride"
"M",6.542,15.1,96560.6,147.2,"Ride"
"F",4.458,9.6,50213.8,139.1,"Ride"
"F",2.829,4.4,14005.7,155.3,"Run"
"M",7.531,13.3,22593.2,136,"Ride"
"M",8.141,15.4,96929.4,172.9,"Ride"
"M",9.382,16.5,49686,138.1,"Ride"
"M",2.2,3.6,6435.4,148.2,"Run"
"F",2.823,5,10227.8,162.1,"Run"
"F",3.287,5.3,10080.2,143.3,"Run"
"M",4.474,12.7,29964.4,145.2,"Ride"
"F",4.851,15,54665,149.9,"Ride"
"M",3.177,6.2,6134.3,149.6,"Run"
"M",9.295,12.3,33480.3,137.2,"Ride"
"M",8.747,21.6,45939.4,118.2,"Ride"
"M",8.026,11.8,36463.4,146.5,"Ride"
"M",3.722,4.9,14716.3,154.5,"Run"
"M",3.164,4.4,11133.1,156.4,"Run"
"M",7.53,10,25608.2,114.3,"Ride"
"M",4.159,14.7,24280.4,116.5,"Ride"
"M",8.022,19.8,75880.8,148.8,"Ride"
"M",6.269,11.7,5153.3,137.1,"Ride"
"M",4.824,10.4,11891.7,152.4,"Ride"
"M",7.435,13.5,21331.1,154.3,"Ride"
"F",3.284,5.5,7828,157.8,"Run"
"F",3.628,3.9,8054.8,168.6,"Run"
"M",8.464,18.8,109054,146.8,"Ride"
"M",6.964,7.8,480.5,151.4,"Ride"
"M",7.245,18.1,106726,147.8,"Ride"
"F",2.509,4.3,7592.4,136.9,"Run"
"M",6.717,14.6,28796.1,112.8,"Ride"
"M",8.04,14.2,52212.4,126.5,"Ride"
"M",5.379,16.77,36905.4,132.2,"Ride"
"F",2.23,4,4334.5,144.7,"Run"
"F",2.184,5,8698.1,137.1,"Run"
