"athlete.sex","average_speed","max_speed","distance","average_heartrate","type"
"F",2.33,3.4,7657.7,141.6,"Run"
"F",8.961,14.3,32231.6,156.7,"Ride"
"F",3.287,5.3,10080.2,143.3,"Run"
"F",4.97,6,21406.9,132.1,"Ride"
"F",6.599,15.3,41787.6,144.5,"Ride"
"F",8.077,14.5,21790.4,138.3,"Ride"
"F",5.982,11,24256.5,164.4,"Ride"
"F",3.506,8.1,1483.2,113.3,"Ride"
"F",2.836,8.3,6629.5,147.9,"Run"
"F",3.268,5.3,11063.1,182,"Run"
"F",3.387,8.9,14904.3,147.9,"Ride"
"F",3.132,4.4,11917.3,158.4,"Run"
"F",3.369,3.8,397.6,161.6,"Run"
"F",5.21,13.7,19239,121.9,"Ride"
"F",8.053,14.5,38372.2,143.2,"Ride"
"F",6.452,17.4,23729.2,129.6,"Ride"
"F",6.351,8.7,20260.5,157.3,"Ride"
"F",2.059,3.1,8312.6,141.1,"Run"
"F",2.895,4.7,7413.6,149.3,"Run"
"F",7.817,10.4,32141.5,164.7,"Ride"
"F",2.958,4.2,5010.9,172.9,"Run"
"F",7.218,13.2,51120,131.8,"Ride"
"F",7.153,8.2,25715.3,137.7,"Ride"
"F",6.165,10.5,16503.4,143.7,"Ride"
"F",2.795,4.1,9614.9,148.2,"Run"
"F",4.458,9.6,50213.8,139.1,"Ride"
"F",5.672,13.4,57571.9,113,"Ride"
"F",8.395,16.4,22565.4,144.2,"Ride"
"F",8.104,16,81648.3,142.3,"Ride"
"F",7.242,10.2,16032.9,133,"Ride"
"F",2.774,4.9,10144.5,162.1,"Ride"
"F",1.874,3.6,15901.9,123.1,"Run"
"F",2.405,4.5,4851.2,137.5,"Run"
"F",2.462,3.8,8489.1,129.7,"Run"
"F",2.841,4.3,6604.8,187.3,"Run"
"F",2.561,3.7,9761.6,162.8,"Run"
"F",8.122,12.8,70086.5,119.5,"Ride"
"F",5.014,8.3,13724.2,123.4,"Ride"
"F",4.622,11.7,33025.6,112.3,"Ride"
"F",9.113,11.4,61523,161,"Ride"
"F",3.296,10.9,10168.3,148.1,"Ride"
"F",3.135,5.2,16121.8,158.9,"Run"
"F",3.164,4.3,2534.5,147.3,"Run"
"F",4.338,8.3,17743.7,117.3,"Ride"
"F",8.605,11.8,57611.6,160.4,"Ride"
"F",4.78,14.6,16600,128.6,"Run"
"F",5.419,16.2,75689.6,151.8,"Ride"
"F",7.066,14.1,37628.4,144.2,"Ride"
"F",2.828,3.7,11541.7,138.5,"Run"
