"athlete.sex","average_speed","max_speed","distance","average_heartrate","type"
"F",6.452,17.4,23729.2,129.6,"Ride"
"F",3.293,13.607,83701.4,143,"Ride"
"F",9.771,23.6,157114,161.1,"Ride"
"F",7.6,20.9,45060.5,120.1,"Ride"
"F",11.151,19,77490.7,169.6,"Ride"
"F",7.712,12.6,67430.1,149,"Ride"
"F",6.351,8.7,20260.5,157.3,"Ride"
"F",6.755,10.9,19338.8,154.7,"Ride"
"F",5.724,9.8,20504.5,125.3,"Ride"
"F",5.984,14.3,29080.1,130.3,"Ride"
"F",5.037,7.3,17469.9,118.7,"Ride"
"F",6.498,9.6,46743.6,145.3,"Ride"
"F",4.851,15,54665,149.9,"Ride"
"F",3.262,5,858,117.8,"Ride"
"F",6.655,16.5,63756.7,162.6,"Ride"
"F",3.02,13.9,19735,146.3,"Ride"
"F",7.779,13.6,33976.5,149.9,"Ride"
"F",5.277,14.9,55338.7,185.3,"Ride"
"F",6.165,10.5,16503.4,143.7,"Ride"
"F",3.855,17.3,24049.9,132.9,"Ride"
"F",5.462,13.9,36202.7,142.1,"Ride"
"F",8.667,12.1,15609.4,140.7,"Ride"
"F",5.014,8.3,13724.2,123.4,"Ride"
"F",7.161,14,23393.6,131.3,"Ride"
"F",7.817,10.4,32141.5,164.7,"Ride"
"F",4.965,11.7,65936.1,153.4,"Ride"
"F",4.65,28,52474,99.7,"Ride"
"F",4.39,11.6,7980.3,136.2,"Ride"
"F",9.366,15.9,260448,141.3,"Ride"
"F",9.113,11.4,61523,161,"Ride"
"F",9.222,13.8,76693.6,135.7,"Ride"
"F",6.428,13.7,35407.1,139.1,"Ride"
"F",3.407,5.6,9949.6,159.9,"Ride"
"F",4.936,22.5,83053.8,147.8,"Ride"
"F",7.465,16.6,104759,142.2,"Ride"
"F",8.814,10.1,16375.9,52.7,"Ride"
"F",6.503,19.773,50294.7,124.6,"Ride"
"F",7.803,15.6,67249.1,145.6,"Ride"
"F",4.714,14.8,39579,150,"Ride"
"F",5.234,11.4,33607.2,131.4,"Ride"
"F",4.43,8.5,22568.6,113.2,"Ride"
"F",7.071,20.7,182270,127.5,"Ride"
"F",6.272,11.1,77983.7,147.1,"Ride"
"F",6.63,10.7,15706.7,144.5,"Ride"
"F",9.381,13.5,38604.4,168.4,"Ride"
"F",4.92,13,46580.9,104.8,"Ride"
"F",6.714,10.7,21564.4,131.2,"Ride"
"F",7.943,15.2,116450,141.6,"Ride"
