"athlete.sex","average_speed","max_speed","distance","average_heartrate","type"
"F",2.958,4.2,5010.9,172.9,"Run"
"F",2.894,4.6,9136.4,177.3,"Run"
"F",1.745,2.8,6500.3,128,"Run"
"F",3.054,4.6,10171.4,174,"Run"
"F",1.837,3.8,12331.7,144.8,"Run"
"F",2.435,4.2,8458.3,148.5,"Run"
"F",3.105,4.6,5610.1,180.9,"Run"
"F",1.367,3.5,2204.1,140.4,"Run"
"F",2.691,4.4,12083.3,162.4,"Run"
"F",2.861,4,10009.2,187.3,"Run"
"F",2.173,5.3,3009.3,120.4,"Run"
"F",2.57,3.4,18982.3,159.1,"Run"
"F",2.36,3.1,8995.8,162.5,"Run"
"F",2.49,3.6,4280.1,117.9,"Run"
"F",2.444,3.1,9317.3,173.4,"Run"
"F",2.689,3.7,6075,147.8,"Run"
"F",0.864,3.5,2696.1,130.7,"Run"
"F",2.782,5.4,3344.5,146.6,"Run"
"F",2.508,3.2,4838.4,155.8,"Run"
"F",2.737,3.6,8771.9,163.2,"Run"
"F",2.462,3.8,8489.1,129.7,"Run"
"F",3.247,4.9,2889.4,146.4,"Run"
"F",2.067,2.8,5781,139.9,"Run"
"F",2.919,5.6,4599.8,145,"Run"
"F",3.377,6.4,4835.4,173.4,"Run"
"F",2.796,4.3,5610.8,143.9,"Run"
"F",1.807,3.8,3228.7,115.1,"Run"
"F",3.084,3.7,8371.3,152.5,"Run"
"F",2.955,5.8,1507,140.1,"Run"
"F",2.67,3.7,6429.8,164.6,"Run"
"F",2.566,9.7,1570.1,124.3,"Run"
"F",3.628,3.9,8054.8,168.6,"Run"
"F",3.164,4.3,2534.5,147.3,"Run"
"F",2.345,3.1,6666,143.4,"Run"
"F",2.561,3.7,9761.6,162.8,"Run"
"F",2.565,3.9,10666.1,106.4,"Run"
"F",2.751,3.6,6120.5,155.4,"Run"
"F",2.879,5.8,8598.6,135.5,"Run"
"F",3.138,3.5,12879.8,168.8,"Run"
"F",3.284,5.5,7828,157.8,"Run"
"F",2.682,3.7,7253.7,135.5,"Run"
"F",1.473,5.1,5853.8,160.8,"Run"
"F",3.019,3.7,1047.6,162.6,"Run"
"F",3.132,4.4,11917.3,158.4,"Run"
"F",2.689,3.5,12102.3,176.2,"Run"
"F",1.99,13,25645.1,143.8,"Run"
"F",1.891,2.9,1875.9,147.9,"Run"
"F",1.946,13.4,5465.3,116,"Run"
"F",3.287,5.3,10080.2,143.3,"Run"
"F",3.243,4.6,5253.2,141,"Run"
"F",2.336,3.4,324.7,158.1,"Run"
"F",2.351,2.7,1412.9,151.1,"Run"
"F",2.566,9.7,1570.1,124.3,"Run"
"F",2.649,3.7,5380.3,175.9,"Run"
"F",2.828,3.7,11541.7,138.5,"Run"
"F",2.51,5,4435.5,146.3,"Run"
"F",4.78,14.6,16600,128.6,"Run"
"F",3.328,5,18497.7,150.1,"Run"
"F",2.71,3.5,12005.7,165.9,"Run"
"F",3.054,4.6,10171.4,174,"Run"
"F",1.457,3,5077,105.1,"Run"
"F",2.742,4,7407,150,"Run"
"F",2.462,3.8,8489.1,129.7,"Run"
"F",3.456,4.5,20009.7,142.6,"Run"
"F",2.912,3.5,1362.9,135,"Run"
"F",2.62,4.9,41032.9,75.1,"Run"
"F",2.724,5.7,4331.6,152.6,"Run"
"F",2.095,3.1,5684.5,126.1,"Run"
"F",2.629,3.6,10200.3,172.2,"Run"
"F",2.604,3.2,5225.5,145.6,"Run"
"F",2.726,3.3,7380,147.8,"Run"
"F",2.291,5,11763.3,151.3,"Run"
"F",2.241,2.9,5057.5,180,"Run"
"F",1.717,2.8,6346.5,118.2,"Run"
"F",2.487,3.5,6129.3,158,"Run"
"F",3.037,7.3,12774,97,"Run"
"F",3.031,6.7,11292.3,142.5,"Run"
"F",2.701,8.1,10486.1,151.8,"Run"
"F",2.829,4.4,14005.7,155.3,"Run"
"F",3.165,4.4,6482.3,161.8,"Run"
